mano_clave,carta1,carta2,carta3,carta4,prob_grande,prob_chica,prob_pares,prob_juego,prob_punto,piedras_esperadas,tipo_mano,estado_juego,suma_puntos,valor_par,valor_juego
"4,4,10,11",4,4,10,11,7.5569,9.9542,5.8685,0.0000,85.9302,3.1042,Pareja de 4s,Punto de 28,28,1,0
"4,4,10,12",4,4,10,12,34.3187,9.9662,6.3594,0.0000,85.9302,3.6544,Pareja de 4s,Punto de 28,28,1,0
"4,4,11,11",4,4,11,11,9.9903,9.9461,91.3931,0.0000,85.9302,7.5463,Duples (11s y 4s),Punto de 28,28,3,0
"4,4,11,12",4,4,11,12,51.4369,9.9662,6.3594,0.0000,85.9302,3.9967,Pareja de 4s,Punto de 28,28,1,0
"4,4,12,12",4,4,12,12,78.6721,9.9602,97.2634,0.0000,85.9302,9.2137,Duples (12s y 4s),Punto de 28,28,3,0
"4,4,4,10",4,4,4,10,0.7457,10.2712,74.9429,0.0000,17.8572,3.7538,Medias de 4s,Punto de 22,22,2,0
"4,4,4,11",4,4,4,11,3.7488,10.2712,74.9429,0.0000,17.8572,3.8138,Medias de 4s,Punto de 22,22,2,0
"4,4,4,12",4,4,4,12,15.0174,10.2712,77.3985,0.0000,17.8572,4.1374,Medias de 4s,Punto de 22,22,2,0
"4,4,4,4",4,4,4,4,0.0000,10.2712,85.0525,0.0000,0.4314,4.4710,Cuaternas de 4s,Punto de 16,16,3,0
"4,4,4,5",4,4,4,5,0.0009,10.2712,74.9429,0.0000,1.2804,3.2416,Medias de 4s,Punto de 17,17,2,0
"4,4,4,6",4,4,4,6,0.0097,10.2712,74.9429,0.0000,2.7582,3.2861,Medias de 4s,Punto de 18,18,2,0
"4,4,4,7",4,4,4,7,0.1046,10.2712,74.9429,0.0000,4.9324,3.3532,Medias de 4s,Punto de 19,19,2,0
"4,4,5,10",4,4,5,10,0.9011,10.2080,5.8685,0.0000,24.0919,1.1210,Pareja de 4s,Punto de 23,23,1,0
"4,4,5,11",4,4,5,11,4.1102,10.2080,5.8685,0.0000,24.0919,1.1852,Pareja de 4s,Punto de 23,23,1,0
"4,4,5,12",4,4,5,12,16.7570,10.2200,6.3594,0.0000,24.0919,1.4531,Pareja de 4s,Punto de 23,23,1,0
"4,4,5,5",4,4,5,5,0.0016,10.2712,86.4533,0.0000,2.7498,4.6106,Duples (5s y 4s),Punto de 18,18,3,0
"4,4,5,6",4,4,5,6,0.0270,10.2682,5.8685,0.0000,4.9643,0.5309,Pareja de 4s,Punto de 19,19,1,0
"4,4,5,7",4,4,5,7,0.1603,10.2562,5.8685,0.0000,6.2458,0.5718,Pareja de 4s,Punto de 20,20,1,0
"4,4,6,10",4,4,6,10,1.1410,10.1257,5.8685,0.0000,29.7278,1.2932,Pareja de 4s,Punto de 24,24,1,0
"4,4,6,11",4,4,6,11,4.6441,10.1257,5.8685,0.0000,29.7278,1.3633,Pareja de 4s,Punto de 24,24,1,0
"4,4,6,12",4,4,6,12,19.3665,10.1378,6.3594,0.0000,29.7278,1.6727,Pareja de 4s,Punto de 24,24,1,0
"4,4,6,6",4,4,6,6,0.0404,10.1769,87.3745,0.0000,6.5276,4.7689,Duples (6s y 4s),Punto de 20,20,3,0
"4,4,6,7",4,4,6,7,0.2578,10.1739,5.8685,0.0000,8.8609,0.6505,Pareja de 4s,Punto de 21,21,1,0
"4,4,7,10",4,4,7,10,1.6469,10.0595,5.8685,0.0000,38.3734,1.5614,Pareja de 4s,Punto de 25,25,1,0
"4,4,7,11",4,4,7,11,5.6949,10.0595,5.8685,0.0000,38.3734,1.6423,Pareja de 4s,Punto de 25,25,1,0
"4,4,7,12",4,4,7,12,24.6318,10.0716,6.3594,0.0000,38.3734,2.0360,Pareja de 4s,Punto de 25,25,1,0
"4,4,7,7",4,4,7,7,0.3977,10.0986,88.5014,0.0000,20.5574,5.2517,Duples (7s y 4s),Punto de 22,22,3,0
"4,5,10,10",4,5,10,10,2.3651,7.1960,23.1337,0.0000,91.9839,3.6447,Pareja de 10s,Punto de 29,29,1,0
"4,5,10,11",4,5,10,11,7.9149,7.2613,0.0000,0.0000,91.9839,3.0630,Sin pares,Punto de 29,29,0,0
"4,5,10,12",4,5,10,12,36.2283,7.3595,0.0000,0.0000,91.9839,3.6313,Sin pares,Punto de 29,29,0,0
"4,5,11,11",4,5,11,11,10.0334,7.1960,31.0148,0.0000,91.9839,4.0345,Pareja de 11s,Punto de 29,29,1,0
"4,5,11,12",4,5,11,12,53.7987,7.3595,0.0000,0.0000,91.9839,3.9827,Sin pares,Punto de 29,29,0,0
"4,5,12,12",4,5,12,12,80.7355,7.3103,72.6049,0.0000,91.9839,6.6986,Pareja de 12s,Punto de 29,29,1,0
"4,5,5,10",4,5,5,10,0.9301,9.2843,8.1523,0.0000,29.6803,1.3393,Pareja de 5s,Punto de 24,24,1,0
"4,5,5,11",4,5,5,11,4.1766,9.2843,8.1523,0.0000,29.6803,1.4042,Pareja de 5s,Punto de 24,24,1,0
"4,5,5,12",4,5,5,12,17.0781,9.2961,8.8326,0.0000,29.6803,1.6829,Pareja de 5s,Punto de 24,24,1,0
"4,5,5,5",4,5,5,5,0.0016,9.3432,75.1154,0.0000,5.1507,3.3460,Medias de 5s,Punto de 19,19,2,0
"4,5,5,6",4,5,5,6,0.0310,9.3432,8.1523,0.0000,6.4746,0.6263,Pareja de 5s,Punto de 20,20,1,0
"4,5,5,7",4,5,5,7,0.1711,9.3314,8.1523,0.0000,9.0023,0.7047,Pareja de 5s,Punto de 21,21,1,0
"4,5,6,10",4,5,6,10,1.2762,8.6997,0.0000,0.0000,41.2942,1.4383,Sin pares,Punto de 25,25,0,0
"4,5,6,11",4,5,6,11,4.9349,8.6997,0.0000,0.0000,41.2942,1.5115,Sin pares,Punto de 25,25,0,0
"4,5,6,12",4,5,6,12,20.8054,8.8042,0.0000,0.0000,41.2942,1.8310,Sin pares,Punto de 25,25,0,0
"4,5,6,6",4,5,6,6,0.0424,9.1459,10.7578,0.0000,8.8570,0.7722,Pareja de 6s,Punto de 21,21,1,0
"4,5,6,7",4,5,6,7,0.3178,9.1195,0.0000,0.0000,20.1754,0.7940,Sin pares,Punto de 22,22,0,0
"4,5,7,10",4,5,7,10,1.8070,8.1341,0.0000,0.0000,52.6069,1.7770,Sin pares,Punto de 26,26,0,0
"4,5,7,11",4,5,7,11,6.0105,8.1341,0.0000,0.0000,52.6069,1.8611,Sin pares,Punto de 26,26,0,0
"4,5,7,12",4,5,7,12,26.2446,8.2360,0.0000,0.0000,52.6069,2.2678,Sin pares,Punto de 26,26,0,0
"4,5,7,7",4,5,7,7,0.4051,8.4665,16.3814,0.0000,25.0341,1.4199,Pareja de 7s,Punto de 23,23,1,0
"4,6,10,10",4,6,10,10,2.3879,5.3773,23.1337,0.0000,100.0000,3.8493,Pareja de 10s,Punto de 30,30,1,0
"4,6,10,11",4,6,10,11,8.3383,5.4347,0.0000,0.0000,100.0000,3.2755,Sin pares,Punto de 30,30,0,0
"4,6,10,12",4,6,10,12,38.4986,5.5211,0.0000,0.0000,100.0000,3.8804,Sin pares,Punto de 30,30,0,0
"4,6,11,11",4,6,11,11,10.0836,5.3773,31.0148,0.0000,100.0000,4.2397,Pareja de 11s,Punto de 30,30,1,0
"4,6,11,12",4,6,11,12,56.5948,5.5211,0.0000,0.0000,100.0000,4.2423,Sin pares,Punto de 30,30,0,0
"4,6,12,12",4,6,12,12,83.1527,5.4778,72.6049,0.0000,100.0000,6.9508,Pareja de 12s,Punto de 30,30,1,0
"4,6,6,10",4,6,6,10,1.3277,6.5969,13.1735,0.0000,56.1380,2.2378,Pareja de 6s,Punto de 26,26,1,0
"4,6,6,11",4,6,6,11,5.0442,6.5969,13.1735,0.0000,56.1380,2.3122,Pareja de 6s,Punto de 26,26,1,0
"4,6,6,12",4,6,6,12,21.3486,6.6070,14.2703,0.0000,56.1380,2.6714,Pareja de 6s,Punto de 26,26,1,0
"4,6,6,6",4,6,6,6,0.0425,6.6374,75.7651,0.0000,19.6060,3.7524,Medias de 6s,Punto de 22,22,2,0
"4,6,6,7",4,6,6,7,0.3413,6.6374,13.1735,0.0000,25.1648,1.2897,Pareja de 6s,Punto de 23,23,1,0
